Year,AirTemperature_max(°F),AirTemperature_min(°F),RelativeHumidity_avg(%),Precipitation_total(inches),WindSpeed_avg(mph),WindSpeed_max(mph),"SoilTemperature_2""_max(°F)","SoilTemperature_2""_min(°F)","SoilTemperature_4""_max(°F)","SoilTemperature_4""_min(°F)",SolarRadiation_total(ly),Wheat-BU/Acre,Crop type,City
1985,62.90465753,41.23260274,70.55808219,0.089424658,7.139452055,17.5,32,30.1,31.6,31.2,372.090411,42.7,Wheat,Manhattan
1986,67.7139726,44.31123288,71.32876712,0.10509589,6.784109589,16.51232877,66.19534247,51.78410959,61.11041096,54.14136986,746.2320513,27.1,Wheat,Manhattan
1987,68.44739726,45.3430137,65.79479452,0.068657534,6.401643836,15.69945205,68.33479452,52.25013699,63.93013699,54.16712329,734.5583871,39.7,Wheat,Manhattan
1988,68.96830601,42.93169399,61.82978142,0.046338798,5.713661202,15.31010929,67.09153005,51.68333333,63.11803279,53.33688525,795.6446328,44,Wheat,Manhattan
1989,66.84849315,41.51041096,65.14191781,0.070849315,5.593150685,15.39369863,65.58849315,50.32054795,61.70027397,52.28054795,754.7332402,19.6,Wheat,Manhattan
1990,68.32767123,44.59342466,54.14547945,0.086547945,5.776712329,14.7139726,66.66219178,50.98136986,62.95342466,53.09835616,731.8453039,39.7,Wheat,Manhattan
1991,68.39479452,45.06794521,66.90849315,0.068931507,5.262739726,14.70493151,69.39945205,51.27479452,64.93506849,53.75342466,715.4060274,34,Wheat,Manhattan
1992,65.40874317,44.31830601,62.16202186,0.099808743,5.203005464,14.83852459,65.4136612,49.71775956,62.24590164,52.89562842,666.5013812,31.5,Wheat,Manhattan
1993,63.09753425,42.55616438,72.3969863,0.139561644,5.233972603,14.95753425,62.56438356,48.89616438,62.24027397,53.2739726,685.0587912,21.8,Wheat,Manhattan
1994,66.28712329,43.4309589,63.8109589,0.057315068,5.36739726,15.18794521,64.49890411,50.78630137,63.04657534,54.01150685,700.8062678,43.5,Wheat,Manhattan
1995,65.1769863,43.45287671,70.54986301,0.081506849,5.905479452,14.93753425,60.74547945,51.45753425,60.07041096,53.47287671,667.2049315,26,Wheat,Manhattan
1996,64.75205479,42.11994536,70.33333333,0.066502732,6.386065574,15.49291785,59.09945355,50.97814208,58.33989071,52.28169399,691.966573,41,Wheat,Manhattan
1997,65.46353591,43.70082645,62.86225895,0.057658402,7.098461538,15.18622754,58.99614325,51.23112948,46.71390135,41.83883929,704.7751445,58,Wheat,Manhattan
1998,67.94465753,47.18739726,58.67068493,0.09909589,5.559340659,15.67217631,63.49041096,53.69205479,61.52356164,54.82630137,674.1911846,50,Wheat,Manhattan
1999,68.30335196,46.02513966,63.39972067,0.115323944,5.032122905,14.31424581,61.6226257,53.33910615,60.10726257,54.36620112,720.902521,44,Wheat,Manhattan
2000,67.49234973,44.36612022,58.45,0.076574586,6.265753425,16.0430137,61.11506849,54.07534247,58.92657534,53.64684932,699.3498623,41,Wheat,Manhattan
2001,67.37616438,43.76520548,71.71479452,0.101616438,7.378356164,19.6,30.6,19.7,31,29.8,632.3161644,46,Wheat,Manhattan
2002,66.15434174,41.88347339,71.63277311,0.072829132,7.228571429,18.90532213,61.83361345,50.02661064,57.84341737,51.76834734,604.9904762,43,Wheat,Manhattan
2003,65.62273973,41.89260274,75.09534247,0.074876712,6.984109589,18.96657534,61.2,50.44739726,58.37315068,52.78356164,585.0909589,61,Wheat,Manhattan
2004,66.50519126,43.78360656,76.21092896,0.070657534,7.294808743,18.7795082,66.67923497,51.00846995,62.91994536,56.04918033,615.7090164,46,Wheat,Manhattan
2005,67.53616438,43.55479452,74.60164384,0.081538462,6.669041096,16.77961433,69.58958904,51.86739726,64.95342466,54.94794521,648.9106849,36,Wheat,Manhattan
2006,68.96986301,43.89753425,63.22328767,0.080575342,6.762191781,16.22884615,67.0706044,53.89890411,64.85452055,56.53616438,667.7627397,46,Wheat,Manhattan
2007,66.64242424,44.3,71.9184573,0.088642659,7.724242424,19.35592287,62.43553719,55.15123967,61.9553719,55.96088154,611.209116,25,Wheat,Manhattan
2008,64.40165289,41.09807163,72.40192837,0.102734807,7.712121212,21.12203857,61.29173554,51.53333333,60.32011019,52.81735537,,40,Wheat,Manhattan
2009,64.61153846,41.44697802,71.38708791,0.099862637,7.262912088,20.78846154,61.51785714,51.73159341,60.69285714,52.61263736,,42,Wheat,Manhattan
2010,66.66878453,44.64972376,71.01823204,0.076546961,6.356629834,17.52762431,64.47762431,51.72955801,63.78425414,52.43563536,405.1966851,45,Wheat,Manhattan
2011,67.98901099,44.19972527,68.50796703,0.081593407,6.079395604,15.7771978,65.11758242,52.53159341,64.91593407,51.87802198,410.5931319,35,Wheat,Manhattan
2012,72.04180328,46.29098361,61.81010929,0.051448087,6.121857923,16.73169399,66.26420765,55.86693989,62.97131148,57.61284153,404.7456284,42,Wheat,Manhattan
2013,65.68681319,42.95082418,66.52912088,0.066730769,6.086813187,20.27002801,60.43791209,52.62115385,58.35686813,54.13324176,355.9156425,38,Wheat,Manhattan
2014,65.78986301,42.72273973,65.3369863,0.072082192,6.353150685,21.2339726,62.49616438,52.37506849,59.29589041,54.13671233,364.2791781,28,Wheat,Manhattan
2015,68.49260274,45.43945205,67.40438356,0.112712329,5.661369863,19.76410959,62.54273973,54.24493151,60.11848739,55.45320334,351.2309589,37,Wheat,Manhattan
2016,69.75163934,46.95437158,66.7579235,0.105956284,5.853005464,20.21557377,63.47349727,55.52978142,62.21721311,56.7852459,363.2538251,57,Wheat,Manhattan
2017,68.89369863,46.00383562,65.30493151,0.076931507,6.060547945,19.96986301,62.86082192,55.41369863,61.59260274,56.7739726,353.3367123,48,Wheat,Manhattan
